date,Open,High,Low,Close,Volume,Currency,ticker
2023-09-12 00:00:00+00:00,1927.4,1929.3,1912.0,1917.2,161003,USD,Gold
2023-09-13 00:00:00+00:00,1917.8,1920.1,1909.6,1914.4,201744,USD,Gold
2023-09-14 00:00:00+00:00,1912.7,1916.0,1903.8,1914.4,199773,USD,Gold
2023-09-18 00:00:00+00:00,1927.7,1937.3,1925.8,1935.2,131097,USD,Gold
2023-09-19 00:00:00+00:00,1936.7,1940.3,1932.5,1935.3,220980,USD,Gold
2023-09-20 00:00:00+00:00,1934.7,1950.2,1930.4,1948.6,225908,USD,Gold
2023-09-21 00:00:00+00:00,1932.8,1933.6,1915.0,1921.2,139926,USD,Gold
2023-09-25 00:00:00+00:00,1926.4,1927.9,1915.5,1918.2,212263,USD,Gold
2023-09-26 00:00:00+00:00,1916.7,1917.1,1899.0,1901.6,238525,USD,Gold
2023-09-27 00:00:00+00:00,1900.3,1902.9,1872.1,1872.3,231419,USD,Gold
2023-09-28 00:00:00+00:00,1885.4,1886.7,1865.5,1869.5,245131,USD,Gold
2023-10-02 00:00:00+00:00,1853.9,1855.1,1833.8,1838.2,216784,USD,Gold
2023-10-03 00:00:00+00:00,1835.7,1839.9,1822.8,1832.6,195048,USD,Gold
2023-10-04 00:00:00+00:00,1829.1,1836.0,1823.0,1826.1,172464,USD,Gold
2023-10-05 00:00:00+00:00,1828.0,1834.1,1817.8,1823.2,231024,USD,Gold
2023-10-09 00:00:00+00:00,1850.7,1867.8,1849.1,1855.7,157340,USD,Gold
2023-10-10 00:00:00+00:00,1866.3,1870.0,1858.1,1866.7,169964,USD,Gold
2023-10-11 00:00:00+00:00,1864.6,1881.5,1864.3,1878.4,163475,USD,Gold
2023-10-12 00:00:00+00:00,1880.2,1888.8,1872.1,1874.2,312994,USD,Gold
2023-10-16 00:00:00+00:00,1931.9,1931.9,1912.0,1925.1,165063,USD,Gold
2023-10-17 00:00:00+00:00,1923.2,1934.1,1918.0,1926.4,270045,USD,Gold
2023-10-18 00:00:00+00:00,1926.6,1966.1,1926.6,1958.8,264821,USD,Gold
2023-10-19 00:00:00+00:00,1950.3,1980.7,1948.4,1971.2,289109,USD,Gold
2023-10-23 00:00:00+00:00,1977.9,1983.1,1963.6,1978.2,200943,USD,Gold
2023-10-24 00:00:00+00:00,1975.1,1980.3,1958.3,1976.8,240655,USD,Gold
2023-10-25 00:00:00+00:00,1972.0,1988.8,1971.0,1985.5,214053,USD,Gold
2023-10-26 00:00:00+00:00,1981.6,1992.5,1974.4,1987.9,213757,USD,Gold
2023-10-30 00:00:00+00:00,2013.5,2016.8,1999.7,2005.6,214776,USD,Gold
2023-10-31 00:00:00+00:00,2005.6,2017.7,1987.4,1994.3,197629,USD,Gold
2023-11-01 00:00:00+00:00,1993.3,2005.9,1978.2,1987.5,158650,USD,Gold
2023-11-02 00:00:00+00:00,1992.0,1999.2,1986.3,1993.5,222189,USD,Gold
2023-11-06 00:00:00+00:00,1999.4,2000.1,1984.2,1988.6,218948,USD,Gold
2023-11-07 00:00:00+00:00,1984.8,1985.2,1962.8,1973.5,189359,USD,Gold
2023-11-08 00:00:00+00:00,1975.3,1977.5,1953.2,1957.8,214077,USD,Gold
2023-11-09 00:00:00+00:00,1955.5,1971.5,1948.3,1969.8,229637,USD,Gold
2023-11-13 00:00:00+00:00,1943.4,1953.5,1935.6,1950.2,180741,USD,Gold
