timestamp,company,storage_type,storage_location,address_region,culture_ua,price,category_name
2025-12-29 13:03:13,МХП,Елеватор,Ямпільський елеватор,"Хмельницкая, Белогорский",Соняшник,7 900,Sunflower
2025-12-29 13:03:13,МХП,Елеватор,Катеринопільський елеватор,"Черкасская, Катеринопольский",Соняшник,8 200,Sunflower
2025-12-29 13:03:13,МХП,Елеватор,Ладижинський елеватор Вінницька птахофабрика,"Винницкая, Гайсинский",Пшениця,27 000,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Зернопродукт МХП – Шпиков,"Винницкая, Тульчинский",Пшениця,26 600,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Орель-Лідер - Меліоративне,"Днепропетровская, Новомосковский",Пшениця,26 600,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Китайгородський елеватор,"Днепропетровская, Царичанський",Пшениця,26 600,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Мироновский ЗИКК,"Киевская, Мироновский",Пшениця,27 000,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Орель-Лідер - Рокита,"Полтавская, Великобагачанский",Пшениця,26 600,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Андріяшевський елеватор,"Сумская, Роменский",Пшениця,26 000,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Катеринопільський елеватор,"Черкасская, Катеринопольский",Пшениця,27 000,Пшениця
2025-12-29 13:03:13,МХП,Елеватор,Ладижинський елеватор Вінницька птахофабрика,"Винницкая, Гайсинский",Соя,8 800,Soybeans
2025-12-29 13:03:13,МХП,Елеватор,Мироновский ЗИКК,"Киевская, Мироновский",Соя,8 800,Soybeans
2025-12-29 13:03:13,Агропросперіс (NCH),Порт,Транс-сервис термінал,"Одесская, Овидиопольский",Пшениця 3 клас,10 150,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Агродар-Бар,"Винницкая, Барский",Пшениця 3 клас,8 500,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Джулінський елеватор,"Винницкая, Бершадский",Пшениця 3 клас,8 500,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Жмеринський елеватор,"Винницкая, Жмеринский",Пшениця 3 клас,8 500,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Сорочанський Мірошник,"Винницкая, Ильинецкий",Пшениця 3 клас,8 500,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Радивилівський елеватор,"Ровенская, Радивиловский",Пшениця 3 клас,8 300,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Дубов'явський елеватор,"Сумская, Конотопский",Пшениця 3 клас,8 100,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Кролевецький елеватор,"Сумская, Кролевецкий",Пшениця 3 клас,8 100,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Власівський Мірошник,"Харьковская, Нововодолажский",Пшениця 3 клас,8 100,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Поділля елеватор (Білогородський КХП),"Хмельницкая, Хмельницкий",Пшениця 3 клас,8 300,Wheat 3rd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Порт,Транс-сервис термінал,"Одесская, Овидиопольский",Пшениця,10 100,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Агродар-Бар,"Винницкая, Барский",Пшениця,8 400,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Джулінський елеватор,"Винницкая, Бершадский",Пшениця,8 400,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Жмеринський елеватор,"Винницкая, Жмеринский",Пшениця,8 400,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Сорочанський Мірошник,"Винницкая, Ильинецкий",Пшениця,8 400,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Радивилівський елеватор,"Ровенская, Радивиловский",Пшениця,8 200,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Дубов'явський елеватор,"Сумская, Конотопский",Пшениця,8 000,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Кролевецький елеватор,"Сумская, Кролевецкий",Пшениця,8 000,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Власівський Мірошник,"Харьковская, Нововодолажский",Пшениця,8 000,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Поділля елеватор (Білогородський КХП),"Хмельницкая, Хмельницкий",Пшениця,8 200,Пшениця
2025-12-29 13:03:13,Агропросперіс (NCH),Порт,Транс-сервис термінал,"Одесская, Овидиопольский",Кукурудза,9 700,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Агродар-Бар,"Винницкая, Барский",Кукурудза,8 000,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Джулінський елеватор,"Винницкая, Бершадский",Кукурудза,8 000,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Жмеринський елеватор,"Винницкая, Жмеринский",Кукурудза,8 000,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Сорочанський Мірошник,"Винницкая, Ильинецкий",Кукурудза,8 000,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Радивилівський елеватор,"Ровенская, Радивиловский",Кукурудза,7 800,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Дубов'явський елеватор,"Сумская, Конотопский",Кукурудза,7 600,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Кролевецький елеватор,"Сумская, Кролевецкий",Кукурудза,7 600,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Власівський Мірошник,"Харьковская, Нововодолажский",Кукурудза,7 600,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Поділля елеватор (Білогородський КХП),"Хмельницкая, Хмельницкий",Кукурудза,7 800,Corn
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Агродар-Бар,"Винницкая, Барский",Пшениця 2 клас,17 200,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Джулінський елеватор,"Винницкая, Бершадский",Пшениця 2 клас,17 200,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Жмеринський елеватор,"Винницкая, Жмеринский",Пшениця 2 клас,17 200,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Сорочанський Мірошник,"Винницкая, Ильинецкий",Пшениця 2 клас,17 200,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Радивилівський елеватор,"Ровенская, Радивиловский",Пшениця 2 клас,17 200,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Дубов'явський елеватор,"Сумская, Конотопский",Пшениця 2 клас,17 000,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Кролевецький елеватор,"Сумская, Кролевецкий",Пшениця 2 клас,17 000,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Власівський Мірошник,"Харьковская, Нововодолажский",Пшениця 2 клас,17 000,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Поділля елеватор (Білогородський КХП),"Хмельницкая, Хмельницкий",Пшениця 2 клас,17 200,Wheat 2nd grade
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Агродар-Бар,"Винницкая, Барский",Соняшник,7 900,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Джулінський елеватор,"Винницкая, Бершадский",Соняшник,7 900,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Жмеринський елеватор,"Винницкая, Жмеринский",Соняшник,7 900,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Сорочанський Мірошник,"Винницкая, Ильинецкий",Соняшник,7 900,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Радивилівський елеватор,"Ровенская, Радивиловский",Соняшник,7 700,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Дубов'явський елеватор,"Сумская, Конотопский",Соняшник,7 500,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Кролевецький елеватор,"Сумская, Кролевецкий",Соняшник,7 500,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Власівський Мірошник,"Харьковская, Нововодолажский",Соняшник,7 500,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Поділля елеватор (Білогородський КХП),"Хмельницкая, Хмельницкий",Соняшник,7 700,Sunflower
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Агродар-Бар,"Винницкая, Барский",Соняшник високоолеїновий,25 500,Sunflower high-oleic
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Джулінський елеватор,"Винницкая, Бершадский",Соняшник високоолеїновий,25 500,Sunflower high-oleic
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Жмеринський елеватор,"Винницкая, Жмеринский",Соняшник високоолеїновий,25 500,Sunflower high-oleic
2025-12-29 13:03:13,Агропросперіс (NCH),Елеватор,Сорочанський Мірошник,"Винницкая, Ильинецкий",Соняшник високоолеїновий,25 500,Sunflower high-oleic
